EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.843,-0.920,-6.290,-0.992,7.262,-15.085,11.754,0.212,0.031,0.991,0.058,-0.916,-0.427,-0.427,100.000,148049.000,1.000
-5.774,-3.661,-8.085,-2.906,6.209,-16.771,9.366,-2.213,0.031,0.990,0.061,-0.885,-0.397,-0.427,100.000,148050.000,1.000
-6.711,-5.369,-8.996,-3.886,5.875,-18.069,7.156,-3.736,0.030,0.989,0.058,-0.885,-0.488,-0.458,100.000,148051.000,1.000
-5.995,-5.487,-8.473,-3.294,6.682,-18.238,5.735,-3.884,0.031,0.988,0.057,-0.732,-0.580,-0.458,100.000,148052.000,1.000
-4.059,-4.457,-6.798,-1.486,8.117,-17.432,4.886,-3.156,0.030,0.991,0.060,-0.702,-0.641,-0.519,100.000,148053.000,1.000
-2.135,-3.375,-5.100,0.452,8.889,-16.332,4.000,-2.460,0.031,0.992,0.058,-0.854,-0.732,-0.458,100.000,148054.000,1.000
-1.206,-2.906,-4.245,1.610,8.333,-15.431,2.754,-2.250,0.032,0.993,0.059,-0.824,-0.610,-0.549,100.000,148055.000,1.000
-1.501,-3.042,-4.446,1.882,6.635,-14.650,1.360,-2.363,0.031,0.995,0.061,-0.885,-0.580,-0.610,100.000,148056.000,1.000
-2.259,-3.053,-4.869,2.002,5.032,-13.345,0.557,-2.230,0.032,0.997,0.062,-0.854,-0.580,-0.641,100.000,148057.000,1.000
-2.553,-2.354,-4.525,2.666,4.770,-11.113,0.791,-1.712,0.034,0.996,0.062,-0.977,-0.610,-0.580,100.000,148058.000,1.000
-2.157,-1.215,-3.423,3.762,5.852,-8.397,1.531,-1.499,0.034,0.994,0.063,-1.099,-0.702,-0.488,100.000,148059.000,1.000
-1.374,-0.231,-2.120,4.619,7.464,-6.108,1.754,-2.342,0.034,0.995,0.059,-1.190,-0.732,-0.519,100.000,148060.000,1.000
-0.758,0.080,-1.397,4.652,8.327,-4.986,0.782,-4.285,0.034,0.997,0.063,-1.099,-0.763,-0.519,100.000,148061.000,1.000
-0.544,-0.206,-1.446,3.895,7.916,-5.067,-1.043,-6.301,0.033,0.997,0.059,-1.099,-0.732,-0.610,100.000,148062.000,1.000
-0.622,-0.624,-1.831,2.846,6.656,-5.765,-2.757,-7.139,0.032,0.997,0.060,-1.160,-0.610,-0.610,100.000,148063.000,1.000
-0.769,-0.724,-2.091,2.051,5.226,-6.240,-3.572,-6.431,0.034,0.996,0.061,-1.099,-0.519,-0.458,100.000,148064.000,1.000
