EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-11.761,-27.234,-44.464,-31.699,-10.297,-42.665,-32.547,-3.545,-0.021,0.980,-0.051,-1.556,0.977,1.984,100.000,103009.000,1.000
-7.407,-22.275,-37.374,-26.576,-5.891,-38.005,-28.004,-0.576,-0.019,0.977,-0.052,-1.862,0.671,1.953,100.000,103010.000,1.000
-2.726,-15.790,-29.111,-20.360,-1.547,-31.361,-23.857,2.913,-0.017,0.975,-0.051,-2.014,0.397,1.923,100.000,103011.000,1.000
-0.886,-12.501,-24.230,-18.103,-1.696,-28.985,-22.727,2.856,-0.015,0.973,-0.053,-2.075,0.122,1.892,100.000,103012.000,1.000
-3.277,-14.615,-26.392,-21.890,-5.492,-33.400,-25.312,-1.746,-0.013,0.968,-0.051,-2.228,0.000,1.862,100.000,103013.000,1.000
-4.723,-15.574,-28.300,-24.658,-6.673,-36.545,-27.616,-5.089,-0.008,0.965,-0.052,-2.350,-0.183,1.892,100.000,103014.000,1.000
-2.975,-11.668,-26.208,-21.528,-3.374,-32.546,-26.836,-2.067,-0.004,0.961,-0.054,-2.258,-0.305,1.892,100.000,103015.000,1.000
-1.272,-7.868,-24.337,-15.162,-0.198,-25.912,-24.368,5.130,-0.001,0.957,-0.055,-2.075,-0.305,1.862,100.000,103016.000,1.000
0.141,-8.205,-25.109,-9.155,-0.437,-23.653,-23.250,11.714,0.001,0.957,-0.055,-1.984,-0.305,1.831,100.000,103017.000,1.000
-0.333,-13.635,-31.740,-8.787,-5.243,-30.050,-28.107,12.452,0.004,0.959,-0.056,-1.770,-0.244,1.770,100.000,103018.000,1.000
-1.176,-17.788,-38.091,-11.961,-10.978,-37.962,-35.732,8.865,0.002,0.962,-0.055,-1.556,-0.183,1.617,100.000,103019.000,1.000
-3.472,-19.622,-42.897,-16.059,-16.337,-42.578,-41.629,5.169,0.004,0.964,-0.056,-1.434,0.031,1.709,100.000,103020.000,1.000
-6.319,-21.102,-46.664,-18.190,-19.966,-43.586,-43.256,5.518,0.003,0.969,-0.056,-1.404,0.061,1.587,100.000,103021.000,1.000
-3.557,-18.655,-44.426,-14.591,-18.078,-39.526,-39.495,11.882,0.002,0.970,-0.056,-1.404,0.122,1.587,100.000,103022.000,1.000
1.994,-13.718,-40.053,-9.868,-12.811,-34.629,-34.161,19.090,0.002,0.972,-0.054,-1.404,0.153,1.556,100.000,103023.000,1.000
8.257,-6.430,-33.204,-4.657,-5.807,-28.755,-27.113,24.354,0.001,0.975,-0.052,-1.373,0.214,1.526,100.000,103024.000,1.000
12.443,0.676,-27.275,-0.828,-1.126,-23.848,-22.142,23.775,0.000,0.976,-0.049,-1.404,0.305,1.434,100.000,103025.000,1.000
11.122,2.348,-27.775,-1.985,-2.524,-24.416,-24.063,16.052,0.000,0.980,-0.049,-1.465,0.336,1.343,100.000,103026.000,1.000
8.735,-0.247,-29.847,-4.358,-4.627,-26.961,-27.648,10.640,-0.002,0.981,-0.046,-1.709,0.275,1.160,100.000,103027.000,1.000
8.062,-4.135,-30.410,-5.565,-2.962,-27.956,-28.527,11.799,-0.002,0.982,-0.051,-1.862,0.305,1.129,100.000,103028.000,1.000
9.995,-4.035,-26.340,-3.898,1.673,-25.257,-26.202,14.919,-0.002,0.983,-0.049,-2.075,0.305,0.916,100.000,103029.000,1.000
9.237,-2.080,-23.275,-3.864,3.054,-23.516,-25.155,13.182,-0.005,0.985,-0.049,-2.228,0.244,0.793,100.000,103030.000,1.000
4.537,-1.612,-23.248,-7.406,0.348,-24.315,-25.822,7.629,-0.007,0.985,-0.049,-2.472,0.214,0.671,100.000,103031.000,1.000
4.717,0.962,-17.623,-7.601,0.604,-21.574,-23.039,5.337,-0.007,0.980,-0.049,-2.686,0.244,0.427,100.000,103032.000,1.000
8.140,2.057,-10.755,-5.853,2.849,-19.072,-20.750,4.145,-0.006,0.975,-0.050,-2.838,0.122,0.305,100.000,103033.000,1.000
8.980,-0.365,-7.499,-5.811,2.733,-21.046,-23.256,0.699,-0.003,0.970,-0.050,-2.808,0.153,0.153,100.000,103034.000,1.000
5.113,-3.447,-8.059,-9.136,-0.349,-26.177,-29.124,-3.811,-0.001,0.963,-0.052,-2.716,0.244,0.122,100.000,103035.000,1.000
1.093,-3.350,-6.816,-11.770,-1.051,-27.863,-31.451,-5.308,0.001,0.958,-0.052,-2.502,0.336,-0.061,100.000,103036.000,1.000
3.049,1.131,0.570,-7.978,4.166,-21.401,-26.170,-1.567,0.005,0.956,-0.054,-2.136,0.519,0.061,100.000,103037.000,1.000
4.987,2.576,3.220,-4.554,6.928,-16.023,-22.294,0.759,0.007,0.957,-0.052,-1.740,0.702,0.183,100.000,103038.000,1.000
